name,population,timezone,federal_subject,federal_district
Moscow,10381222,Europe/Moscow,Moscow (federal city)[3],Central
Saint Petersburg,5351935,Europe/Moscow,Saint Petersburg (federal city)[4],Northwest
Novosibirsk,1612833,Asia/Novosibirsk,Novosibirsk Oblast,Siberia
Yekaterinburg,1495066,Asia/Yekaterinburg,Sverdlovsk Oblast,Ural
Nizhniy Novgorod,1259013,Europe/Moscow,,
Kazan,1243500,Europe/Moscow,Republic of Tatarstan,Volga
Chelyabinsk,1202371,Asia/Yekaterinburg,Chelyabinsk Oblast,Ural
Omsk,1172070,Asia/Omsk,Omsk Oblast,Siberia
Samara,1163399,Europe/Samara,Samara Oblast,Volga
Rostov-na-Donu,1130305,Europe/Moscow,,
Ufa,1120547,Asia/Yekaterinburg,Republic of Bashkortostan,Volga
Krasnoyarsk,1090811,Asia/Krasnoyarsk,Krasnoyarsk Krai,Siberia
Voronezh,1047549,Europe/Moscow,Voronezh Oblast,Central
Volgograd,1013533,Europe/Volgograd,Volgograd Oblast,South
Perm,982419,Asia/Yekaterinburg,Perm Krai,Volga
Krasnodar,899541,Europe/Moscow,Krasnodar Krai,South
Saratov,844858,Europe/Saratov,Saratov Oblast,Volga
Tyumen,768358,Asia/Yekaterinburg,Tyumen Oblast,Ural
Tolyatti,702879,Europe/Samara,Samara Oblast,Volga
Izhevsk,648213,Europe/Samara,Udmurt Republic,Volga
Barnaul,632372,Asia/Barnaul,Altai Krai,Siberia
Ulyanovsk,626540,Europe/Ulyanovsk,Ulyanovsk Oblast,Volga
Irkutsk,623869,Asia/Irkutsk,Irkutsk Oblast,Siberia
Khabarovsk,618150,Asia/Vladivostok,Khabarovsk Krai,Far East
Yaroslavl,608722,Europe/Moscow,Yaroslavl Oblast,Central
Vladivostok,604901,Asia/Vladivostok,Primorsky Krai,Far East
Makhachkala,596356,Europe/Moscow,Republic of Dagestan,North Caucasus
Khabarovsk Vtoroy,578303,Asia/Vladivostok,,
Tomsk,574002,Asia/Tomsk,Tomsk Oblast,Siberia
Orenburg,564773,Asia/Yekaterinburg,Orenburg Oblast,Volga
Kemerovo,558973,Asia/Novokuznetsk,Kemerovo Oblast,Siberia
Novokuznetsk,539616,Asia/Novokuznetsk,Kemerovo Oblast,Siberia
Ryazan’,538962,Europe/Moscow,,
Astrakhan,533925,Europe/Astrakhan,Astrakhan Oblast,South
